GEOID20,POP20,votes_dem,votes_gop,WHITEPOP (non-Hisp),BLACKPOP,HISPLATPOP
29001950100,3706,607.9339678,991.7347053,3512,4,45
29001950200,2811,512.5568141,882.1976507,2684,3,36
29001950300,2925,459.5057258,533.2773742,2278,286,116
29001950400,4193,804.1736587,960.9564617,3448,336,110
29001950501,3923,605.1006801,748.3952813,3314,133,105
29001950502,3263,577.2572101,645.8319316,2746,168,100
29001950900,2149,357.3639201,326.9638382,1699,213,61
29001951000,2344,247.6635804,176.420535,1909,136,88
29003010100,6212,1213.944445,1841.055556,5648,102,169
29003010201,3962,667.5018583,996.4034591,3675,23,97
29003010202,2939,495.4981421,734.8743191,2714,21,44
29003010300,1975,242.4726279,348.232285,1860,6,33
29003010400,3047,606.3888894,1006.611112,2859,4,48
29005950100,3058,543.6565908,893.1865322,2878,13,49
29005950200,2247,410.7322987,645.480135,2105,10,24
29007950100,3796,465.9359834,625.683749,3191,307,91
29007950200,4791,767.1014688,1225.900766,4498,20,66
29007950300,3634,460.3247026,777.5398326,3417,12,100
29007950400,2720,338.8918916,409.8794608,2171,247,86
29007950500,3724,521.3608329,693.4740561,3027,229,200
29007950600,2648,404.9324012,516.9391135,2204,174,82
29007950700,3649,566.2050613,711.7494841,2942,318,106
29009960101,2938,539.5172577,997.4893237,2706,0,79
29009960102,2660,485.5448251,753.2800714,2387,5,77
29009960201,2655,379.2405637,671.5320145,2154,3,182
29009960202,3234,503.7244058,880.2861604,2433,6,604
29009960301,3740,458.3703713,654.1861932,2296,5,1187
29009960302,3026,396.7863187,601.5776306,2031,8,509
29009960401,3962,539.2828234,945.678221,3485,8,116
29009960402,3603,491.5573982,863.4338473,2895,38,242
29009960500,6150,824.2865398,1356.861338,5327,25,294
29009960600,2566,545.6339424,838.7307594,2344,8,43
29011960100,2865,495.356847,876.8057438,2468,9,70
29011960200,3804,663.2118846,1223.510702,3490,3,42
29011960300,4968,811.0174092,1387.83893,4409,20,154
29013070100,4985,963.2641524,1528.255591,4712,15,70
29013070200,4055,752.1906162,1176.377753,3734,20,67
29013070300,4470,735.1820446,1092.336956,3966,103,161
29013070400,2532,441.0298543,717.6408112,2387,17,37
29015460100,3230,167.1360497,267.8209938,3037,9,29
29015460200,2383,412.9332008,705.6012924,2228,5,41
29015460300,4603,790.9814366,1142.838798,4165,23,115
29015460400,2204,367.6498823,583.8273592,2069,5,35
29015460701,1260,256.071667,372.9592923,1170,0,22
29015460702,1611,352.9571873,490.6220054,1499,9,14
29015460801,1633,113.8061628,167.470253,1498,8,29
29015460802,2470,465.6440212,711.5400015,2268,17,25
29017950100,4115,715.6977365,1261.868097,3813,17,74
29017950200,3858,678.4064299,1195.728669,3613,12,55
29017950300,2594,465.1360439,853.9986363,2436,10,24
29019000200,1698,441.21497,266.4021521,1250,192,111
29019000300,2622,546.2058072,396.8432882,2073,89,113
29019000500,5226,794.388411,651.6539492,4119,240,245
29019000600,4558,1500.718585,1135.757514,4017,107,124
29019000700,3345,1019.958634,624.2691907,2420,463,170
29019000900,1389,304.1011616,175.5463492,760,427,68
29019001001,5042,1155.44678,800.5480594,3680,455,205
29019001003,4108,901.3587702,776.717328,2895,498,238
29019001004,4170,875.0279811,854.9980602,2950,409,420
29019001105,3350,636.0591345,429.3592581,2206,381,205
29019001106,6434,1337.109504,997.6790107,4352,789,432
29019001107,3912,990.5581844,926.0530886,3161,208,146
29019001108,2901,792.0217368,675.5724022,2348,149,121
29019001109,5811,1383.411614,1164.333407,4227,547,272
29019001110,7723,1814.853415,1846.240517,5994,427,279
29019001201,6064,1784.735638,1563.948437,4839,338,205
29019001202,5315,1709.418364,1517.041939,4292,273,169
29019001300,4074,918.3356609,724.5613227,2465,690,234
29019001401,6421,1490.556357,1331.736255,4404,931,289
29019001402,5964,1467.813506,1290.591467,4187,707,300
29019001503,4339,831.3865572,736.9597295,2624,1009,236
29019001505,3504,696.3963593,531.7452446,1883,1017,258
29019001506,3167,369.0612634,297.9603649,1840,780,180
29019001507,3277,592.8414509,450.5127511,1639,680,493
29019001508,5723,1204.525284,1012.378298,3490,1165,347
29019001602,4626,1135.067795,1230.144393,3924,197,115
29019001603,3694,817.5867424,890.175417,2671,524,146
29019001604,4506,1003.482479,895.7315783,2843,926,198
29019001702,5745,1362.501608,1504.162134,4822,256,130
29019001703,3658,778.7298486,1042.919133,3345,28,52
29019001704,4711,985.3237468,1361.209091,4296,40,115
29019001803,4414,1079.376107,1278.938534,3709,176,131
29019001806,5526,1384.978583,1458.172401,4393,349,175
29019001807,5570,1410.011482,1317.959021,4106,460,224
29019001901,4530,927.2445575,1317.417442,4070,60,125
29019001903,4870,973.4010608,1325.559665,4303,67,107
29019001904,4225,836.9750254,1264.169426,3868,38,55
29019002000,5458,980.1666672,1486.222222,5008,63,127
29019002100,4023,747.7303248,439.3848982,2167,1180,169
29019002200,7917,853.1132353,649.504641,6131,765,323
29021000100,6343,1154.294589,1442.479187,5009,341,349
29021000200,4336,954.5584228,1202.724027,3750,132,214
29021000300,2701,452.6063802,563.4671437,2273,104,152
29021000400,1563,210.3171304,260.1542754,1226,47,147
29021000500,2852,465.7839161,567.1336452,2407,78,157
29021000600,4814,734.4482603,842.1507268,3840,483,241
29021000701,4576,815.5345347,1065.586214,3658,396,207
29021000702,4334,796.1206842,1002.717522,3181,414,246
29021000900,4521,772.346561,822.8801965,3408,266,368
29021001000,2279,269.7623864,236.1712742,1373,400,294
29021001100,2259,319.1739672,334.2560081,1722,151,155
29021001200,1890,227.6352005,211.0609629,1367,206,164
29021001500,4912,855.4422733,930.3640523,3807,232,409
29021001600,2556,493.3256384,558.007929,2066,135,176
29021001700,4308,686.7862424,838.1511427,3570,166,261
29021001800,3338,585.3384326,705.8350454,2858,81,191
29021002100,2188,354.5539372,466.9146815,1726,119,211
29021002200,1956,419.5745734,601.2696108,1755,22,78
29021002300,2229,450.0215998,608.0911973,1891,41,186
29021002400,1907,255.9197443,332.5973432,1408,48,295
29021002500,1973,264.7769562,344.1083157,1624,45,175
29021002700,3514,713.7758367,1032.145399,3116,105,87
29021002800,4842,1026.971465,1580.057038,4481,22,122
29021002900,3059,533.9752836,788.083672,2843,10,72
29021003001,2961,434.6056108,476.6833486,2261,129,343
29021003002,2582,361.7948225,326.2989369,1771,250,300
29023950101,3675,592.4643332,1038.791807,3397,30,66
29023950102,1872,301.3808232,534.8714553,1721,3,30
29023950201,5476,893.8434072,1611.605766,4907,142,92
29023950202,6018,911.7003564,1713.407718,5427,122,112
29023950301,3745,579.8781722,893.3298677,3125,225,94
29023950302,3289,438.893494,649.8916376,2613,298,108
29023950400,3171,383.0310279,484.1308544,2113,659,80
29023950500,2285,243.6926179,366.6704615,1803,228,42
29023950600,3834,608.0157931,1096.417596,3526,58,60
29023950700,2587,271.3232557,396.6652236,1933,288,72
29023950800,2808,293.818323,439.0875107,2246,253,88
29023950900,3370,457.7312721,810.1778654,2934,182,57
29025950100,2614,399.6517808,641.3701454,2452,12,20
29025950201,2979,375.7739038,599.2556688,2711,56,61
29025950202,3222,587.4380738,914.0837865,3009,1,70
29027070100,4798,919.1273129,1418.50644,4393,58,95
29027070200,3298,643.6077104,960.2733675,2955,30,38
29027070301,4021,467.8864464,578.1367989,3352,374,83
29027070302,3308,397.51378,459.8287561,2599,421,68
29027070400,5720,787.474468,918.978264,4455,633,179
29027070500,4900,936.1534304,1316.888195,4430,91,94
29027070601,3495,664.6032614,1005.615546,3193,28,66
29027070602,3255,622.3134603,916.4994703,3018,7,27
29027070701,2296,469.114047,707.6381708,2087,18,48
29027070702,3821,713.198884,1030.855872,3369,100,95
29027070800,5371,999.6723491,1454.143702,4602,214,172
29029950101,2561,531.1627272,794.2791659,2332,37,40
29029950102,2403,498.3928286,745.2763903,2210,5,74
29029950201,3635,689.3617449,1019.027691,3016,85,308
29029950202,2755,525.2556441,777.8295673,2466,17,90
29029950301,1487,307.4034041,484.9709675,1365,6,29
29029950302,931,232.1721811,335.6984804,882,0,11
29029950401,2087,361.1357235,525.4087825,1807,17,90
29029950402,1878,322.2209862,480.0840538,1741,4,40
29029950500,3707,639.4237054,984.5571929,3177,37,213
29029950600,3885,752.2955659,1170.718929,3559,17,125
29029950701,2099,499.4477485,727.86079,1978,2,50
29029950702,1005,224.2351935,367.9588842,938,3,16
29029950801,2626,501.5781884,875.4108439,2424,5,58
29029950802,3781,758.8193722,1199.877628,3412,11,107
29029950900,3027,567.6988172,1018.510127,2849,1,47
29029951101,1580,358.8470109,526.8430775,1492,5,19
29029951102,1231,290.4920087,427.3032372,1143,4,12
29029951201,1060,250.6822344,368.7835775,993,2,9
29029951202,1007,235.0898575,345.6256633,930,0,17
29031880100,6095,1238.806494,2299.923894,5687,24,82
29031880200,4133,723.3076324,1270.235477,3829,43,56
29031880300,5273,1035.815887,1902.995103,4860,60,72
29031880401,5778,1074.547785,1700.02432,5258,84,92
29031880402,2500,449.5083909,690.8612578,2167,128,46
29031880501,5536,942.2817365,1471.565136,4974,98,115
29031880502,4283,798.9236553,1226.074571,3827,112,93
29031880600,7583,1222.830907,1866.65176,6704,271,154
29031880700,5025,1041.841316,1293.02179,4198,342,93
29031880800,4347,620.3748565,642.2954944,3363,502,204
29031880900,2561,318.3402896,323.0705863,1484,641,73
29031881000,1749,252.4961922,200.4616512,1178,329,63
29031881100,3229,511.7568602,598.6828917,2486,337,165
29031881200,6794,1382.511845,1800.164373,5543,521,173
29031881301,3804,693.511782,865.7231313,2885,458,154
29031881302,2511,449.3423425,495.2005682,1508,643,159
29031881400,2429,367.7394928,318.7359006,1096,978,197
29031881500,5066,863.0049946,1262.256417,4512,134,136
29031881600,3014,447.6354031,461.0499689,1834,798,107
29033960100,2225,365.3966516,590.0588124,2085,17,36
29033960200,2419,495.9445607,851.3039261,2299,20,19
29033960300,3851,641.088918,1012.408051,3522,60,77
29035960100,3256,493.4169245,960.5985586,3009,3,62
29035960200,1946,445.9719651,711.0125531,1785,10,35
29037060001,4796,962.4829552,1163.453619,3839,268,360
29037060003,3615,628.277778,701.2777782,2620,275,361
29037060004,5345,1076.456406,1271.612398,3996,292,585
29037060100,1413,268.0510621,313.3335908,943,130,144
29037060202,4854,913.7722182,1068.707168,3950,187,327
29037060305,4789,982.6499624,1130.636825,3821,429,246
29037060306,6714,1368.006547,1555.98649,5009,796,380
29037060307,4891,944.6076243,1095.701182,3676,631,210
29037060308,4474,881.4363907,1091.333161,3666,254,193
29037060309,4475,838.4954461,1023.329463,3604,282,229
29037060401,2238,510.3761443,677.464298,1933,67,85
29037060402,3326,715.9278871,1032.326362,2993,24,107
29037060500,2916,639.7789965,932.4570046,2640,34,78
29037060601,4916,942.599354,1330.436342,4446,28,142
29037060602,4028,724.6772056,1023.66221,3488,32,225
29037060700,3581,705.6611333,1136.483906,3239,20,98
29037060800,6203,1285.483637,1841.005047,5615,39,165
29037060904,3229,533.851784,736.0152801,2812,45,137
29037061001,4545,938.4451661,1299.883038,4031,70,151
29037061002,7414,1508.950573,2127.799946,6378,147,297
29037061100,4179,941.2199005,1429.168494,3871,17,85
29037061200,4032,787.9093714,1255.571988,3640,17,127
29037061300,6581,1228.440105,1324.374746,4620,832,649
29037061400,5270,839.4423575,1166.201895,4576,102,202
29039870101,2647,244.0437659,356.3062998,2408,17,54
29039870102,3419,390.0752154,587.4296576,3095,29,53
29039870200,4857,676.8075065,1284.609318,4390,13,101
29039870300,3265,488.7096767,784.6253426,3006,5,53
29041470100,2220,403.9508131,618.1192337,2125,1,19
29041470200,2372,446.0012328,619.830002,2136,108,47
29041470300,2816,514.270724,791.1578806,2664,40,35
29043020101,3106,511.6687465,851.7046945,2839,2,62
29043020102,6333,681.6578465,1017.167051,5724,29,179
29043020201,4508,849.7084362,1255.946901,3976,27,147
29043020202,6771,1290.580077,1939.259924,5825,73,353
29043020204,4714,855.0000113,1243.869157,4191,44,145
29043020205,6682,1225.607598,1761.234874,5716,71,304
29043020206,4566,881.9132122,1245.633987,4012,51,150
29043020207,5045,750.364565,1082.754902,4441,57,153
29043020302,6449,1140.944451,1781.493577,5682,42,285
29043020303,5764,952.4537706,1516.793265,5132,40,198
29043020304,3675,551.4773392,866.8408545,3204,17,161
29043020307,4571,738.5183326,1136.385032,4097,24,141
29043020308,2946,437.5175091,679.2495905,2526,35,129
29043020309,1930,309.4086028,476.4764883,1696,30,72
29043020310,6528,1175.244239,1801.3753,5895,42,206
29043020401,3869,754.1151731,1306.343726,3565,7,59
29043020402,4032,680.131817,1194.948394,3613,8,92
29043020501,4252,773.2112424,1334.377836,3856,13,107
29043020502,3101,509.9235527,901.4816286,2900,4,69
29045950100,1927,320.1213268,521.9333329,1844,5,5
29045950200,1936,330.2033643,428.5618138,1856,6,13
29045950300,2771,236.317021,507.0466403,2637,12,32
29047020201,5423,942.8703385,741.5967149,3029,837,689
29047020202,4867,1022.384059,942.2144676,3639,336,396
29047020300,6688,1408.982032,1333.256651,4293,798,724
29047020400,2561,498.4726297,412.5152228,1358,501,330
29047020500,6252,1319.868025,1152.551432,3902,974,651
29047020602,4417,799.9103135,609.5066554,2367,1081,491
29047020603,4196,831.3803734,806.4538066,2985,350,432
29047020604,5484,1184.786073,1040.540611,3299,876,714
29047020802,2656,603.7821088,647.6054689,2233,97,138
29047020803,2906,677.0511615,729.8676658,2280,160,213
29047020901,6107,1476.304727,1471.28999,4564,386,569
29047020902,2562,594.0523679,571.6374338,1899,136,288
29047021001,3716,757.2182963,726.3150787,2577,374,417
29047021003,4115,968.10261,903.8405916,3060,394,287
29047021004,3068,704.9543585,711.5965489,2313,170,295
29047021101,5123,1099.783982,1060.288971,3851,338,435
29047021103,3772,920.648653,901.3693106,2786,260,313
29047021104,3187,689.8565184,681.189685,2344,265,221
29047021105,3736,827.0157713,795.2350326,2638,367,318
29047021204,5679,948.0887012,782.5918527,3558,702,701
29047021208,6058,1193.667336,1041.322595,3860,1004,602
29047021209,4461,1143.72245,1186.453288,3457,307,359
29047021210,4368,859.0188683,826.5283018,3144,377,343
29047021211,2804,555.5073622,569.2696849,2145,197,210
29047021212,6754,1139.944133,1209.984588,4877,642,499
29047021213,3193,595.062514,609.7930075,1877,672,321
29047021214,1417,258.5463448,261.6647442,1069,129,94
29047021303,5065,876.7804697,1009.712835,4242,174,225
29047021307,7622,1472.764996,1455.057136,5508,648,626
29047021309,5911,1080.242531,1355.779661,4955,211,214
29047021311,2866,574.7213433,622.9378485,2218,192,211
29047021312,7620,1277.916101,1494.152268,6222,331,437
29047021313,8275,1586.096816,1733.081509,6285,482,675
29047021314,7251,1367.975564,1532.326087,5722,393,570
29047021401,4628,935.0827573,988.5207363,3859,240,219
29047021403,2995,614.6864031,633.2402038,2420,125,170
29047021404,4816,969.9744185,1046.975839,3974,261,225
29047021601,4767,1002.515465,1051.384652,3786,272,310
29047021602,3505,837.5854644,1033.904367,3112,38,98
29047021701,5379,1020.525962,1265.363155,4777,77,191
29047021703,2543,471.4606048,568.4257685,2280,36,73
29047021704,3322,582.8190868,756.4848472,2816,69,142
29047021806,4066,781.2405735,1037.518484,3625,40,157
29047021807,4233,904.0157028,1026.056668,3260,269,330
29047021808,4648,1058.215557,1199.085024,3775,278,268
29047021809,4566,974.8646462,1439.348644,4183,21,152
29047021810,3033,729.4721686,1007.913199,2723,15,120
29047021811,3537,745.9115834,1024.771041,3212,16,111
29047021812,5577,997.6718452,1406.416847,5023,27,172
29047021900,6768,1387.033613,1832.066038,6041,86,274
29047022000,6540,1287.192002,1684.260872,5872,50,209
29047022100,5343,1245.883724,957.2599192,3724,664,508
29047022200,4110,882.3175442,850.7652211,2928,220,561
29047022301,3180,748.4929361,809.6975924,2586,172,188
29047022302,5599,1316.217274,1474.774574,4750,134,364
29049960100,5430,855.7597624,1237.652444,4874,35,144
29049960201,3045,615.6624719,889.8542537,2790,6,68
29049960202,4012,741.1159279,1081.015921,3709,10,89
29049960300,4228,779.1150429,1073.452628,3746,130,120
29049960400,4469,922.624574,1335.191422,4145,28,81
29051010300,4815,798.7261645,896.8039971,3632,696,163
29051010401,3714,803.3972329,975.9255312,2985,388,71
29051010402,2987,615.496559,692.338683,2457,231,95
29051010500,4313,819.0607624,737.2430973,2601,1170,190
29051010600,3661,559.1304661,587.7585195,2219,752,181
29051010701,6009,1287.778617,1637.693549,4770,500,251
29051010702,5083,1068.659954,1328.960286,4048,494,175
29051010801,5920,1184.239829,1522.967426,4553,663,300
29051010802,3670,789.7727705,932.800857,3086,146,201
29051010901,3568,946.7268788,1127.361321,3143,155,74
29051010902,2698,593.4031329,607.2352755,2139,281,91
29051020198,7347,1182.459714,1861.535143,5832,1139,178
29051020200,4632,1047.032174,1728.40368,4372,31,54
29051020300,3494,746.9596605,1254.016236,3326,13,39
29051020400,6531,1299.932225,1713.183343,4933,652,416
29051020500,2761,556.1954505,922.8077475,2555,9,36
29051020600,4167,907.0982316,1409.904449,3833,58,93
29051020700,1909,324.9301805,289.7275332,990,745,53
29053950100,3341,610.1421004,913.7819361,3097,31,48
29053950200,2640,415.5435716,530.80997,1893,524,45
29053950300,4078,805.8845348,1073.072335,3420,196,117
29053950400,2434,427.3324549,573.4058826,2031,143,60
29053950500,4610,860.6752428,1363.663549,4289,30,52
29055450101,1794,268.5217614,431.6062468,1680,12,31
29055450103,3209,514.1384476,780.7895013,2960,12,60
29055450104,2883,420.3989989,650.8199933,2667,11,46
29055450200,3771,627.7138083,1068.514931,3469,15,44
29055450301,2227,333.7713438,540.8786901,2027,7,43
29055450302,4326,647.7465725,1043.560763,3856,31,176
29055450401,1979,302.0948606,544.4318249,1803,11,53
29055450402,2867,438.4475402,792.3424966,2518,49,29
29057480100,4621,819.1430734,1387.727542,4291,26,78
29057480200,2948,521.8438522,807.9225388,2704,10,57
29059480100,4760,393.8485586,640.6865049,4415,12,87
29059480200,5337,422.5617506,769.4489486,4824,11,130
29059480301,2799,343.0250082,567.7992768,2597,4,38
29059480302,4175,422.5315503,721.0986743,3860,19,65
29061470100,3217,524.3838469,873.5549345,3058,15,32
29061470200,5213,788.1161539,1225.167288,4866,18,81
29063080101,2157,355.2099504,628.1532614,2065,0,25
29063080102,5065,439.9114158,651.9406782,4066,663,130
29063080200,3807,722.3612772,1219.655524,3522,9,72
29065960100,4448,704.9543574,1243.283917,4126,11,52
29065960200,4945,858.1079843,1447.060763,4510,33,108
29065960300,2188,333.2240504,574.950702,1980,12,44
29065960400,2840,443.3350469,751.2780594,2587,14,67
29067950100,2764,631.6617802,1131.245204,2563,2,62
29067950200,4605,942.1576478,1683.689278,4261,14,86
29067950500,4209,373.9391055,840.3650935,3778,24,91
29069360100,2131,345.2196206,468.9627808,1170,741,47
29069360200,2568,416.0131325,565.1320603,2103,265,71
29069360300,3658,552.4225665,1040.243812,3415,25,71
29069360400,3751,458.9449577,752.2986284,3159,107,306
29069360500,2936,327.1707476,450.896438,1898,665,224
29069360600,4290,485.9474798,721.7313188,3017,768,274
29069360700,3576,440.4755305,627.4811922,2600,532,216
29069360800,2082,221.9779893,391.0303563,1456,35,530
29069360900,1666,231.8370725,410.2780531,1460,32,100
29069361000,1625,179.3797934,327.6675839,1351,14,203
29071800101,2534,514.5526323,716.5593597,2317,35,36
29071800102,2065,490.4268291,703.314878,1869,15,62
29071800103,2224,421.9465058,609.2869253,2002,20,53
29071800104,1857,393.3317066,596.2155509,1738,4,33
29071800201,5231,974.3249673,1237.024087,4726,38,176
29071800202,6435,1253.284529,1774.260262,6003,21,123
29071800301,2969,590.2194899,862.1683449,2750,21,43
29071800302,4714,864.7772414,1134.261123,4291,39,134
29071800401,5406,986.9920513,1604.753734,4943,29,128
29071800403,4052,831.892752,1339.807206,3863,12,42
29071800404,2941,560.1243031,937.2146,2806,6,33
29071800501,4116,810.3535023,1249.443789,3874,13,72
29071800502,2902,538.7343517,848.9767559,2721,4,23
29071800603,4211,611.6812569,893.1734139,3783,66,123
29071800604,3665,508.241615,721.4720107,3231,46,125
29071800605,4377,768.8013971,1121.969331,3993,28,93
29071800606,5021,813.5771953,1171.614657,4484,76,109
29071800702,3326,651.8224479,871.9033331,2974,27,92
29071800703,4458,832.5037692,1129.055673,3978,74,101
29071800704,2992,555.5643121,732.9136936,2536,61,122
29071800801,5385,1016.569507,1468.605879,4965,33,83
29071800802,1962,361.5515289,520.8426682,1763,71,27
29071800901,2793,465.4002785,719.0170047,2589,16,36
29071800903,3314,464.9360259,699.2138806,3008,47,69
29071800904,3893,552.3272058,835.5727546,3508,50,76
29071801000,3650,686.335262,1071.144251,3435,19,29
29071801101,4088,550.916574,822.1138411,3710,23,106
29071801102,4101,688.5954385,1027.122478,3820,10,56
29073960100,2453,484.3272987,687.019702,2297,8,32
29073960200,1690,355.7008993,561.1464527,1608,3,18
29073960300,2889,558.1945643,946.2618493,2693,1,31
29073960400,3239,478.077584,793.9727295,2944,9,60
29073960500,4523,790.4774322,1357.377046,4163,2,48
29075960100,2848,512.1577571,812.0262674,2690,5,46
29075960200,3314,551.5089098,964.1959555,3161,10,44
29077000101,949,115.2092953,88.56121695,783,50,48
29077000102,1595,193.6341682,148.8463025,1178,83,121
29077000200,4629,512.9047697,365.5181355,3292,419,324
29077000300,3126,467.1200773,430.586838,2650,78,152
29077000400,4349,767.5196853,743.8902217,3580,149,265
29077000501,2228,323.4709753,271.6779285,1636,179,174
29077000502,3371,502.532335,413.0805668,2548,258,201
29077000600,2612,387.9355624,403.2747685,1967,257,106
29077000700,4607,605.1974901,541.6996401,3418,458,262
29077000800,3414,470.2079565,505.4928695,2534,312,198
29077000900,5097,1024.627758,831.5637725,3968,231,292
29077001000,2202,590.5460768,483.0927545,1944,26,68
29077001100,3461,706.671899,735.1663904,2802,117,222
29077001200,3821,853.4873301,828.7475363,3097,163,232
29077001301,2234,476.5413591,461.6544982,1702,91,188
29077001302,2540,448.1321143,500.6027049,1998,110,159
29077001401,2861,502.8943439,502.3457142,2136,105,297
29077001402,1950,345.6999047,344.5306906,1531,62,104
29077001500,5201,961.5483633,1007.799227,4033,169,390
29077001700,3217,407.6813482,462.6089352,2580,160,182
